"gisaid_epi_isl","Nextstrain_clade","pango_lineage"
"EPI_ISL_2158792","20B","P.2"
"EPI_ISL_2158815","20D","C.37"
"EPI_ISL_792124","20C","B.1.499"
"EPI_ISL_1396175","20B","N.3"
"EPI_ISL_1396208","20B","N.5"
"EPI_ISL_1396211","20B","N.5"
"EPI_ISL_1396230","20B","N.3"
"EPI_ISL_1396234","20B","N.3"
"EPI_ISL_1395778","20B","P.2"
"EPI_ISL_1395783","20B","P.2"
"EPI_ISL_1395784","20B","P.2"
"EPI_ISL_1395795","20B","P.2"
"EPI_ISL_1395797","20B","P.2"
"EPI_ISL_2007487","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2007530","20J (Gamma, V3)","P.1"
"EPI_ISL_792459","20D","B.1.1.1"
"EPI_ISL_1396344","20B","N.3"
"EPI_ISL_1396360","20C","B.1.499"
"EPI_ISL_1396373","20C","B.1.499"
"EPI_ISL_1396380","20D","C.26"
"EPI_ISL_1396382","20D","C.26"
"EPI_ISL_1395853","20B","N.5"
"EPI_ISL_1395889","20C","B.1.499"
"EPI_ISL_1395893","20B","N.5"
"EPI_ISL_1395915","20B","N.5"
"EPI_ISL_2363535","20J (Gamma, V3)","P.1"
"EPI_ISL_2363558","20J (Gamma, V3)","P.1"
"EPI_ISL_1396035","20C","B.1.499"
"EPI_ISL_2007564","20B","P.2"
"EPI_ISL_2007566","20B","B.1.1.519"
"EPI_ISL_2007573","20B","B.1.1.519"
"EPI_ISL_2271694","20J (Gamma, V3)","P.1"
"EPI_ISL_2271703","21C (Epsilon)","B.1.427"
"EPI_ISL_1718291","20B","B.1.1"
"EPI_ISL_1718292","20B","B.1.1.163"
"EPI_ISL_1718293","20B","B.1.1.163"
"EPI_ISL_1718304","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1718297","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1718300","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1854605","20B","B.1.1"
"EPI_ISL_1854609","20B","B.1.1"
"EPI_ISL_1854624","20B","B.1.1"
"EPI_ISL_1854640","20B","B.1.1"
"EPI_ISL_1854647","20B","B.1.1"
"EPI_ISL_636513","20A","B.1"
"EPI_ISL_636517","20B","B.1.1.231"
"EPI_ISL_1059907","20A","B.1.111"
"EPI_ISL_1014672","20D","C.2.1"
"EPI_ISL_1014664","20C","B.1.575"
"EPI_ISL_1014661","20A","B.1.240.1"
"EPI_ISL_1014658","20G","B.1.2"
"EPI_ISL_1014643","20G","B.1.2"
"EPI_ISL_1014636","20G","B.1.2"
"EPI_ISL_1014635","20D","C.2.1"
"EPI_ISL_1014604","20D","C.2.1"
"EPI_ISL_1013811","20D","C.2.1"
"EPI_ISL_1090202","20C","B.1"
"EPI_ISL_1165600","20D","C.2.1"
"EPI_ISL_1165619","20B","B.1.1.519"
"EPI_ISL_1216232","20D","C.2.1"
"EPI_ISL_1289390","20D","C.2.1"
"EPI_ISL_1289190","20D","C.2.1"
"EPI_ISL_1371222","21C (Epsilon)","B.1.427"
"EPI_ISL_1371236","21F (Iota)","B.1.526"
"EPI_ISL_1370557","21F (Iota)","B.1.526"
"EPI_ISL_1457555","21C (Epsilon)","B.1.427"
"EPI_ISL_1596139","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1596149","21F (Iota)","B.1.526"
"EPI_ISL_1596158","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1596216","20G","B.1.2"
"EPI_ISL_1596227","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1704912","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1704914","20B","B.1.1.348"
"EPI_ISL_1705874","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1792401","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1792347","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1961905","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1962162","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1962163","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1962173","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2094359","20A","B.1.621"
"EPI_ISL_2093632","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2093759","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2094411","20C","B.1.575"
"EPI_ISL_2218340","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2218349","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2218359","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2218696","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2220539","21F (Iota)","B.1.526"
"EPI_ISL_2218790","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2303008","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2303926","21F (Iota)","B.1.526"
"EPI_ISL_2303026","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_498484","19A","B"
"EPI_ISL_498518","20C","B.1"
"EPI_ISL_498520","19B","A.2.2"
"EPI_ISL_498543","20A","B.1.523"
"EPI_ISL_498545","20B","D.2"
"EPI_ISL_498547","20B","D.2"
"EPI_ISL_498548","20B","D.2"
"EPI_ISL_735503","20B","B.1.1.263"
"EPI_ISL_1170946","20H (Beta, V2)","B.1.351"
"EPI_ISL_1170947","20H (Beta, V2)","B.1.351"
"EPI_ISL_1208400","20H (Beta, V2)","B.1.351"
"EPI_ISL_1208401","20H (Beta, V2)","B.1.351"
"EPI_ISL_1208402","20H (Beta, V2)","B.1.351"
"EPI_ISL_1807318","21A (Delta)","B.1.617.2"
"EPI_ISL_1010701","20B","B.1.1.416"
"EPI_ISL_1010702","20E (EU1)","B.1.177"
"EPI_ISL_1010703","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1010704","20H (Beta, V2)","B.1.351"
"EPI_ISL_1010707","20A","B.1.160"
"EPI_ISL_1010711","20G","B.1.2"
"EPI_ISL_1061037","20A","B.1.36"
"EPI_ISL_1061034","20G","B.1.596"
"EPI_ISL_1121978","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1121985","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1121986","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1205303","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1184095","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1184096","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1315070","21A (Delta)","B.1.617.2"
"EPI_ISL_1660404","21B (Kappa)","B.1.617.1"
"EPI_ISL_1660405","21D (Eta)","B.1.525"
"EPI_ISL_1756021","20I (Alpha, V1)","B.1.1"
"EPI_ISL_1756026","21B (Kappa)","B.1.617.1"
"EPI_ISL_1756032","21A (Delta)","B.1.617.2"
"EPI_ISL_2107501","21A (Delta)","B.1"
"EPI_ISL_2107444","21A (Delta)","B.1.617.2"
"EPI_ISL_2107447","21A (Delta)","B.1.617.2"
"EPI_ISL_2107448","21A (Delta)","B.1.617.2"
"EPI_ISL_2107449","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2107450","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2107503","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2107455","21A (Delta)","B.1.617.2"
"EPI_ISL_2107529","21A (Delta)","B.1.617.2"
"EPI_ISL_2107532","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2107533","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2107535","21A (Delta)","B.1.617.2"
"EPI_ISL_407893","19B","A"
"EPI_ISL_408977","19A","B"
"EPI_ISL_417030","19B","A"
"EPI_ISL_593665","20C","B.1.356"
"EPI_ISL_593689","20B","B.1.1.133"
"EPI_ISL_593714","20B","B.1.1"
"EPI_ISL_593748","20A","B.1"
"EPI_ISL_740888","20C","B.1.517.1"
"EPI_ISL_767875","20C","B.1.517.1"
"EPI_ISL_845789","20B","B.1.1"
"EPI_ISL_845791","20A","B.1.398"
"EPI_ISL_942895","20B","R.1"
"EPI_ISL_1098652","20B","P.2"
"EPI_ISL_1383236","21C (Epsilon)","B.1.429"
"EPI_ISL_1383237","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1383242","20G","B.1.2"
"EPI_ISL_1447289","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1904447","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1904449","21A (Delta)","B.1.617.2"
"EPI_ISL_1904470","21A (Delta)","B.1.617.2"
"EPI_ISL_1904466","21A (Delta)","B.1.617.2"
"EPI_ISL_509497","19B","A.2.2"
"EPI_ISL_427643","19A","B"
"EPI_ISL_527011","20C","B.1"
"EPI_ISL_451540","20B","B.1.1"
"EPI_ISL_678363","20B","B.1.1.243"
"EPI_ISL_717703","20A","B.1.36"
"EPI_ISL_1010705","20A","B.1.36.29"
"EPI_ISL_1121031","20B","R.1"
"EPI_ISL_1121989","20G","B.1.2"
"EPI_ISL_1069080","20A","B.1.530"
"EPI_ISL_1205815","20B","P.2"
"EPI_ISL_1255309","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1293048","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1406433","20H (Beta, V2)","B.1.351.3"
"EPI_ISL_1615596","21A (Delta)","B.1.617.2"
"EPI_ISL_1615598","21A (Delta)","B.1.617.2"
"EPI_ISL_1633348","21A (Delta)","B.1.617.2"
"EPI_ISL_478709","19A","B.4"
"EPI_ISL_478718","20B","B.1.1.33"
"EPI_ISL_498771","20B","D.2"
"EPI_ISL_526201","20B","D.2"
"EPI_ISL_545025","20B","D.2"
"EPI_ISL_854745","20B","B.1.1.216"
"EPI_ISL_2321158","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2250187","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2250190","21A (Delta)","B.1.617.2"
"EPI_ISL_2250191","21A (Delta)","B.1.617.2"
"EPI_ISL_2250192","21B (Kappa)","B.1.617.1"
"EPI_ISL_2250197","21A (Delta)","B.1.617.2"
"EPI_ISL_2250198","21A (Delta)","B.1.617.1"
"EPI_ISL_2250204","21A (Delta)","B.1.617.2"
"EPI_ISL_2250207","21A (Delta)","B.1.617.2"
"EPI_ISL_2321159","21B (Kappa)","B.1.617.1"
"EPI_ISL_2321161","20H (Beta, V2)","B.1.351"
"EPI_ISL_2321164","21A (Delta)","B.1.617.2"
"EPI_ISL_2321166","21A (Delta)","B.1.617.2"
"EPI_ISL_2250210","21B (Kappa)","B.1.617.1"
"EPI_ISL_521860","20B","D.2"
"EPI_ISL_521861","20C","B.1.595"
"EPI_ISL_521862","20B","D.2"
"EPI_ISL_779406","20E (EU1)","B.1.177"
"EPI_ISL_779408","20E (EU1)","B.1.177.32"
"EPI_ISL_779413","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_410718","19B","A"
"EPI_ISL_530247","20B","D.2"
"EPI_ISL_530271","20B","B.1.1"
"EPI_ISL_530277","20C","B.1"
"EPI_ISL_530278","20B","D.2"
"EPI_ISL_576137","20B","D.2"
"EPI_ISL_639746","20A","B.1"
"EPI_ISL_593640","20B","D.2"
"EPI_ISL_593642","20B","D.2"
"EPI_ISL_593643","20B","D.2"
"EPI_ISL_639750","20A","B.1"
"EPI_ISL_639759","20A","B.1"
"EPI_ISL_641310","20C","B.1"
"EPI_ISL_639818","20C","B.1"
"EPI_ISL_639819","20B","B.1.1"
"EPI_ISL_693290","19B","A"
"EPI_ISL_849694","20C","B.1"
"EPI_ISL_849682","20B","D.2"
"EPI_ISL_849683","19A","B.6.8"
"EPI_ISL_849685","20A","B.1.258"
"EPI_ISL_849686","20A","B.1.36.1"
"EPI_ISL_849691","19A","B.6"
"EPI_ISL_849692","19A","B.6"
"EPI_ISL_1300525","20A","B.1.469"
"EPI_ISL_849734","19B","A.21"
"EPI_ISL_1300524","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1300532","21D (Eta)","B.1.525"
"EPI_ISL_1300529","20B","B.1.1.368"
"EPI_ISL_944742","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_944747","20H (Beta, V2)","B.1.351"
"EPI_ISL_944748","21D (Eta)","B.1.525"
"EPI_ISL_962180","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_968212","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_968213","20H (Beta, V2)","B.1.351"
"EPI_ISL_985234","20A","AU.1"
"EPI_ISL_985235","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1061309","20H (Beta, V2)","B.1.351"
"EPI_ISL_1061310","20B","B.1.1.317"
"EPI_ISL_1300534","20A","AU.3"
"EPI_ISL_1098644","21F (Iota)","B.1.526"
"EPI_ISL_1098645","21F (Iota)","B.1.526"
"EPI_ISL_1121039","20A","AU.1"
"EPI_ISL_1121040","20B","B.1.1.317"
"EPI_ISL_1137503","20A","AU.1"
"EPI_ISL_1137504","20A","AU.1"
"EPI_ISL_1137505","20B","B.1.1.317"
"EPI_ISL_1159377","20A","AU.1"
"EPI_ISL_1196417","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1196420","20A","B.1.466.2"
"EPI_ISL_1222764","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1804614","20B","B.1.1.317"
"EPI_ISL_1241840","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1273077","20A","AU.3"
"EPI_ISL_1273082","21E (Theta)","P.3"
"EPI_ISL_1306138","20H (Beta, V2)","B.1.351"
"EPI_ISL_1465886","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1465893","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1483027","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1516882","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1516889","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1563665","21B (Kappa)","B.1.617.1"
"EPI_ISL_1633659","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1754859","20A","AU.3"
"EPI_ISL_1754858","20A","AU.3"
"EPI_ISL_1754862","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1938308","21A (Delta)","B.1.617.2"
"EPI_ISL_2001060","21A (Delta)","B.1.617.2"
"EPI_ISL_2137034","20H (Beta, V2)","B.1.351"
"EPI_ISL_2137033","20H (Beta, V2)","B.1.351"
"EPI_ISL_2137036","20A","AU.3"
"EPI_ISL_2274244","21A (Delta)","B.1.617.2"
"EPI_ISL_2274246","21A (Delta)","B.1.617.2"
"EPI_ISL_2274249","21A (Delta)","B.1.617.2"
"EPI_ISL_530239","20B","D.2"
"EPI_ISL_530238","20A","B.1"
"EPI_ISL_530237","19B","A.2.2"
"EPI_ISL_530251","20A","B.1.523"
"EPI_ISL_530252","19A","B.6.8"
"EPI_ISL_417031","19B","A.1"
"EPI_ISL_468039","19A","B"
"EPI_ISL_467989","20A","B.1"
"EPI_ISL_508605","20B","D.2"
"EPI_ISL_510542","20B","D.2"
"EPI_ISL_622764","20C","B.1"
"EPI_ISL_622766","20B","B.1.1"
"EPI_ISL_732961","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1029956","20B","B.1.1.413"
"EPI_ISL_1704674","20B","B.1.1"
"EPI_ISL_1704675","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1704786","20B","B.1.1"
"EPI_ISL_1704676","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1704677","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1704678","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1704788","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1704789","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1704791","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1704792","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1704796","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1704797","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1704801","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1704802","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1704803","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1704804","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1704805","20H (Beta, V2)","B.1.351"
"EPI_ISL_1706364","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1706367","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_577607","20B","D.2"
"EPI_ISL_522574","20C","B.1.319"
"EPI_ISL_522636","19B","A.2.2"
"EPI_ISL_522652","19B","A.2.2"
"EPI_ISL_522686","19B","A.2.2"
"EPI_ISL_522705","20B","D.2"
"EPI_ISL_563417","20B","D.2"
"EPI_ISL_640454","20B","D.2"
"EPI_ISL_430686","20C","B.1"
"EPI_ISL_419734","19A","B"
"EPI_ISL_640969","20B","D.2"
"EPI_ISL_456557","20C","B.1.338"
"EPI_ISL_812429","20C","B.1.517.1"
"EPI_ISL_812432","20C","B.1.517.1"
"EPI_ISL_962831","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_933778","20H (Beta, V2)","B.1.351"
"EPI_ISL_933779","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_979356","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_979357","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1061403","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_979359","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_979363","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_979364","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1033145","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1033148","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1033152","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1033153","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2250232","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1249988","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1249990","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1249999","20H (Beta, V2)","B.1.351"
"EPI_ISL_1250002","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1250005","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1913199","20H (Beta, V2)","B.1.351"
"EPI_ISL_1913200","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_521885","20B","B.1.1.71"
"EPI_ISL_1913201","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1913202","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1913203","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1913175","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1913204","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1913205","21A (Delta)","B.1.617.2"
"EPI_ISL_1913206","21A (Delta)","B.1.617.2"
"EPI_ISL_1913108","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1913208","21B (Kappa)","B.1.617.1"
"EPI_ISL_1913209","21A (Delta)","B.1.617.2"
"EPI_ISL_1913109","21A (Delta)","B.1.617.2"
"EPI_ISL_1913110","21A (Delta)","B.1.617.2"
"EPI_ISL_2250223","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1913212","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2250225","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2250224","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2250227","20B","B.1.1.318"
"EPI_ISL_2250228","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2250229","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2250230","21A (Delta)","B.1.617.2"
"EPI_ISL_2321171","21A (Delta)","B.1.617.2"
"EPI_ISL_2321179","21B (Kappa)","B.1.617.1"
"EPI_ISL_2321175","21B (Kappa)","B.1.617.1"
"EPI_ISL_2321180","21B (Kappa)","B.1.617.1"
"EPI_ISL_522086","20B","D.2"
"EPI_ISL_522237","20B","D.2"
"EPI_ISL_519689","20B","D.2"
"EPI_ISL_519144","20B","D.2"
"EPI_ISL_426998","19B","A"
"EPI_ISL_561646","20B","D.2"
"EPI_ISL_564934","20B","D.2"
"EPI_ISL_420456","19A","B"
"EPI_ISL_596741","20A","B.1.441"
"EPI_ISL_596752","20A","B.1.36.33"
"EPI_ISL_596864","19A","B.39"
"EPI_ISL_605850","20A","B.1"
"EPI_ISL_794711","20A","B.1.258"
"EPI_ISL_933790","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_933798","20B","B.1.1.163"
"EPI_ISL_933799","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_933801","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1017678","21D (Eta)","B.1.525"
"EPI_ISL_1069391","20A","B.1.36.22"
"EPI_ISL_1069392","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1069393","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1184507","20H (Beta, V2)","B.1.351"
"EPI_ISL_1198801","21D (Eta)","B.1.525"
"EPI_ISL_1295932","20A","B.1.470"
"EPI_ISL_1295934","21D (Eta)","B.1.525"
"EPI_ISL_1384811","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1448430","20G","B.1.2"
"EPI_ISL_1508993","21B (Kappa)","B.1.617.1"
"EPI_ISL_1508994","20D","C.36.3"
"EPI_ISL_1620802","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1620803","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1620804","20H (Beta, V2)","B.1.351"
"EPI_ISL_1633674","20H (Beta, V2)","B.1.351"
"EPI_ISL_1633676","21A (Delta)","B.1.617.2"
"EPI_ISL_1669124","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1669125","21B (Kappa)","B.1.617.1"
"EPI_ISL_1750965","20D","C.36"
"EPI_ISL_1750966","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1816917","21A (Delta)","B.1.617.2"
"EPI_ISL_1816922","21A (Delta)","B.1.617.2"
"EPI_ISL_1911192","21A (Delta)","B.1.617.2"
"EPI_ISL_1828700","20B","B.1.1.519"
"EPI_ISL_1914666","20B","B.1.1.519"
"EPI_ISL_1914667","20B","B.1.1.519"
"EPI_ISL_1972908","21A (Delta)","B.1.617.2"
"EPI_ISL_1972909","21A (Delta)","B.1.617.2"
"EPI_ISL_1972911","21A (Delta)","B.1.617.2"
"EPI_ISL_1972912","21A (Delta)","B.1.617.2"
"EPI_ISL_2081529","21A (Delta)","B.1.617.2"
"EPI_ISL_2226229","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2304306","20B","B.1.1.318"
"EPI_ISL_437932","20B","B.1.1"
"EPI_ISL_437993","20B","B.1.1.331"
"EPI_ISL_437994","20B","B.1.1.331"
"EPI_ISL_475836","20B","B.1.1.331"
"EPI_ISL_583689","20A","B.1.224"
"EPI_ISL_853991","20A","B.1.160"
"EPI_ISL_934449","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_934574","20A","B.1.258"
"EPI_ISL_1117921","20A","B.1.258"
"EPI_ISL_1117797","20A","B.1.258"
"EPI_ISL_1583255","20A","B.1.258.17"
"EPI_ISL_1583259","20E (EU1)","B.1.177.86"
"EPI_ISL_1008345","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1117776","20B","R.1"
"EPI_ISL_1495443","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1495485","20D","C.35"
"EPI_ISL_1495533","20B","R.1"
"EPI_ISL_2137137","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1965612","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2232988","20E (EU1)","B.1.177"
"EPI_ISL_2324326","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2324332","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2356910","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_437298","20A","B.1.465"
"EPI_ISL_1712577","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2161167","20B","B.1.1.10"
"EPI_ISL_487274","20B","B.1.1"
"EPI_ISL_632284","20A","B.1.281"
"EPI_ISL_632285","20B","B.1.1.306"
"EPI_ISL_632261","20A","B.1.281"
"EPI_ISL_681309","20B","AE.2"
"EPI_ISL_1660462","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1660463","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1660464","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1660470","20H (Beta, V2)","B.1.351"
"EPI_ISL_678261","20A","B.1.36"
"EPI_ISL_1660437","20B","B.1.1"
"EPI_ISL_1660432","21A (Delta)","B.1.617.2"
"EPI_ISL_1660444","20H (Beta, V2)","B.1.351.3"
"EPI_ISL_1660446","20B","B.1.1"
"EPI_ISL_1660451","20B","B.1.1.345"
"EPI_ISL_1660458","21A (Delta)","B.1.617.2"
"EPI_ISL_483557","19A","B.4.2"
