Gene Symbol	Gene Product Name	NCBI Gene ID	Locus Name	UniProtKB Accession	GenBank Accession	GenBank Protein Accession	Subtype/Genotype (ViPR)	Strain Name	Collection Date	Host	Country	CDS Length	Virus Type	Virus Species	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A3G4YL03	MK049247	AYV62652.1	Asian	Aedes_aegypti/COL/FH04/2016	01/29/2016	Mosquito	Colombia	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A220AIN5	KY962729	ARK18940.1	Asian	AFMC-S	04/2016	Human	South Korea	9063	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A219YLK5	KY553111	AQS26698.1	Asian	AFMC-U	04/2016	Human	South Korea	10260	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A2P1CZQ9	MG877675	AVK43536.1	Asian	AM89	01/2016	Human	Colombia	1395	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216689	AZS35336.1	Asian	AMA12	03/14/2016	Human	Brazil	994	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216692	AZS35339.1	Asian	AMA13	04/01/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216693	AZS35340.1	Asian	AMA14	04/06/2016	Human	Brazil	9648	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216694	AZS35341.1	Asian	AMA15	04/05/2016	Human	Brazil	8766	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216695	AZS35342.1	Asian	AMA16	04/05/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216696	AZS35343.1	Asian	AMA19	04/08/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216687	AZS35334.1	Asian	AMA2	02/19/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216697	AZS35344.1	Asian	AMA20	04/26/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216698	AZS35345.1	Asian	AMA21	04/25/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216699	AZS35346.1	Asian	AMA22	05/16/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216700	AZS35347.1	NA	AMA23	04/26/2017	Human	Brazil	3077	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216701	AZS35348.1	Asian	AMA24	04/27/2017	Human	Brazil	7287	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216702	AZS35349.1	Asian	AMA26	02/11/2016	Human	Brazil	5788	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216703	AZS35350.1	Asian	AMA27	02/15/2016	Human	Brazil	9648	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216745	AZS35392.1	Asian	AMA302	12/08/2015	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216705	AZS35352.1	Asian	AMA32	04/05/2016	Human	Brazil	9366	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216704	AZS35351.1	Asian	AMA33	02/19/2016	Human	Brazil	8766	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216707	AZS35354.1	Asian	AMA35	02/29/2016	Human	Brazil	9366	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216706	AZS35353.1	Asian	AMA36	03/01/2016	Human	Brazil	9366	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216709	AZS35356.1	Asian	AMA37	03/01/2016	Human	Brazil	9648	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216708	AZS35355.1	Asian	AMA38	03/02/2016	Human	Brazil	9366	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216710	AZS35357.1	Asian	AMA41	02/03/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216712	AZS35359.1	Asian	AMA42	02/10/2016	Human	Brazil	9366	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216711	AZS35358.1	Asian	AMA43	02/10/2016	Human	Brazil	9366	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216714	AZS35361.1	Asian	AMA44	01/29/2016	Human	Brazil	9648	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216713	AZS35360.1	Asian	AMA45	01/08/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216715	AZS35362.1	Asian	AMA46	02/10/2016	Human	Brazil	9648	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216716	AZS35363.1	Asian	AMA47	02/02/2016	Human	Brazil	9648	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216717	AZS35364.1	Asian	AMA48	02/02/2016	Human	Brazil	9648	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216718	AZS35365.1	Asian	AMA49	02/10/2016	Human	Brazil	9648	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216688	AZS35335.1	Asian	AMA5	03/10/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216719	AZS35366.1	Asian	AMA50	02/10/2016	Human	Brazil	9648	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216720	AZS35367.1	Asian	AMA51	01/25/2016	Human	Brazil	9648	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216732	AZS35379.1	Asian	AMA52	02/02/2016	Human	Brazil	9366	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216721	AZS35368.1	Asian	AMA53	01/25/2016	Human	Brazil	9648	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216725	AZS35372.1	Asian	AMA55	01/26/2016	Human	Brazil	8803	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216723	AZS35370.1	Asian	AMA57	01/14/2016	Human	Brazil	9366	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216722	AZS35369.1	Asian	AMA58	01/20/2016	Human	Brazil	9648	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216724	AZS35371.1	Asian	AMA59	01/14/2016	Human	Brazil	8766	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216691	AZS35338.1	Asian	AMA6	03/15/2016	Human	Brazil	9648	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216729	AZS35376.1	Asian	AMA61	12/16/2015	Human	Brazil	9366	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216726	AZS35373.1	Asian	AMA62	01/25/2016	Human	Brazil	10214	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216727	AZS35374.1	Asian	AMA65	01/30/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216728	AZS35375.1	Asian	AMA66	01/23/2016	Human	Brazil	9366	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216730	AZS35377.1	Asian	AMA67	01/05/2016	Human	Brazil	9366	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216733	AZS35380.1	Asian	AMA68	02/01/2016	Human	Brazil	9366	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216731	AZS35378.1	Asian	AMA70	01/29/2016	Human	Brazil	8766	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216734	AZS35381.1	Asian	AMA71	03/20/2017	Human	Brazil	8766	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216735	AZS35382.1	Asian	AMA72	03/20/2017	Human	Brazil	6075	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216739	AZS35386.1	Asian	AMA73	03/20/2017	Human	Brazil	431	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216737	AZS35384.1	Asian	AMA80	03/22/2017	Human	Brazil	8803	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216738	AZS35385.1	Asian	AMA82	03/24/2017	Human	Brazil	9648	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216736	AZS35383.1	Asian	AMA84	03/27/2017	Human	Brazil	9077	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216740	AZS35387.1	Asian	AMA85	03/27/2017	Human	Brazil	8766	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216743	AZS35390.1	Asian	AMA88	03/28/2017	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216741	AZS35388.1	Asian	AMA89	03/28/2017	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216690	AZS35337.1	Asian	AMA9	03/18/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216742	AZS35389.1	Asian	AMA90	03/29/2017	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216744	AZS35391.1	Asian	AMA91	04/07/2017	Human	Brazil	9904	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1V0E2W4	KY765304	ARB08113.1	Asian	ANRARORO052195215	09/21/2016	Human	Spain	557	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	W0G1G4	KF268948	AHF49783.1	East_African	ARB13565	1976	Mosquito	Central African Republic	10269	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	W8Q6T3	KF383115	AHL43500.1	East_African	ArB1362	-N/A-	Unknown	Central African Republic	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	W0G4H6	KF268949	AHF49784.1	East_African	ARB15076	-N/A-	Insect	Central African Republic	10254	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	W0G5P7	KF268950	AHF49785.1	East_African	ARB7701	-N/A-	Mosquito	Central African Republic	10269	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A4D6NWK8	MK637519	QCE20689.1	Asian	ARCB116141	01/02/2016	Human	Argentina	1486	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A4D6NUF0	MK637518	QCE20688.1	Asian	ARCH125797	10/07/2017	Human	Argentina	1486	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	W8QIT7	KF383117	AHL43502.1	West_African	ArD128000	-N/A-	Unknown	Senegal	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	W8QFH2	KF383118	AHL43503.1	East_African	ArD157995	-N/A-	Unknown	Senegal	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	W8Q7Q3	KF383119	AHL43504.1	East_African	ArD158084	-N/A-	Unknown	Senegal	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	W8Q6T7	KF383121	AHL43505.1	East_African	ArD158095	-N/A-	Unknown	-N/A-	9981	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	W8R1T1	KF383116	AHL43501.1	West_African	ArD7117	-N/A-	Unknown	Senegal	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	H8XX13	HQ234501	AEN75266.1	West_African	ArD_41519	1984	Mosquito	Senegal	10269	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A166XWW1	KX101066	ANA85193.1	Asian	Bahia01	05/2015	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A166XW58	KX101060	ANA85187.1	Asian	Bahia02	05/2015	Human	Brazil	10032	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A166XWC3	KX101061	ANA85188.1	Asian	Bahia03	05/2015	Human	Brazil	10209	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A161HSB0	KX101062	ANA85189.1	Asian	Bahia04	06/2015	Human	Brazil	9999	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A166XWF1	KX101063	ANA85190.1	Asian	Bahia05	12/2015	Human	Brazil	10103	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A142FH79	KU940228	AMQ76465.1	Asian	Bahia07	07/01/2015	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A142FH78	KU940227	AMQ76464.1	Asian	Bahia08	07/15/2015	Human	Brazil	10252	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A142FH73	KU940224	AMQ76459.1	Asian	Bahia09	08/01/2015	Human	Brazil	10226	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A166XWL4	KX101064	ANA85191.1	Asian	Bahia11	04/2015	Human	Brazil	10000	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A160DE77	KX101067	ANA85194.1	Asian	Bahia12	05/2015	Human	Brazil	10209	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A166XWT9	KX101065	ANA85192.1	Asian	Bahia15	01/2016	Human	Brazil	9872	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9R0C5	MK271837	AZU90671.1	-N/A-	BBK-11	02/10/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9R0X1	MK271838	AZU90672.1	-N/A-	BBK-13	02/10/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9R3F7	MK271839	AZU90673.1	-N/A-	BBK-14	02/10/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9R020	MK271840	AZU90674.1	-N/A-	BBK-18	02/10/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3T0I8C6	MK271841	AZU90675.1	-N/A-	BBK-218	05/30/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9R102	MK271842	AZU90676.1	-N/A-	BBK-219	05/30/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9QZU1	MK271843	AZU90677.1	-N/A-	BBK-220	05/30/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3T0I8F3	MK271844	AZU90678.1	-N/A-	BBK-221	05/30/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9R355	MK271845	AZU90679.1	-N/A-	BBK-222	05/30/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3T0I8C5	MK271846	AZU90680.1	-N/A-	BBK-223	05/30/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9R1W6	MK271847	AZU90681.1	-N/A-	BBK-224	05/30/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3T0I8C2	MK271848	AZU90682.1	-N/A-	BBK-225	05/30/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
-N/A-	NS5	-N/A-	-N/A-	A0A3Q9R267	MK271849	AZU90683.1	-N/A-	BBK-229	05/30/2016	Mosquito	Thailand	232	Zika virus	Zika virus	
