"","Var1","Freq","site"
"135","2020-12-13",15,"452"
"136","2020-12-14",74,"452"
"137","2020-12-15",108,"452"
"138","2020-12-16",74,"452"
"139","2020-12-17",63,"452"
"140","2020-12-18",113,"452"
"141","2020-12-19",57,"452"
"142","2020-12-20",82,"452"
"143","2020-12-21",146,"452"
"144","2020-12-22",116,"452"
"145","2020-12-23",105,"452"
"146","2020-12-24",112,"452"
"147","2020-12-25",30,"452"
"148","2020-12-26",147,"452"
"149","2020-12-27",96,"452"
"150","2020-12-28",348,"452"
"151","2020-12-29",199,"452"
"152","2020-12-30",107,"452"
"153","2020-12-31",90,"452"
"154","2021",621,"452"
"155","2021-01",72,"452"
"156","2021-01-01",84,"452"
"157","2021-01-02",105,"452"
"158","2021-01-03",124,"452"
"159","2021-01-04",327,"452"
"160","2021-01-05",242,"452"
"161","2021-01-06",255,"452"
"162","2021-01-07",272,"452"
"163","2021-01-08",258,"452"
"164","2021-01-09",175,"452"
"165","2021-01-10",152,"452"
"166","2021-01-11",344,"452"
"167","2021-01-12",364,"452"
"168","2021-01-13",283,"452"
"169","2021-01-14",337,"452"
"170","2021-01-15",413,"452"
"171","2021-01-16",350,"452"
"172","2021-01-17",279,"452"
"173","2021-01-18",425,"452"
"174","2021-01-19",434,"452"
"175","2021-01-20",381,"452"
"176","2021-01-21",363,"452"
"177","2021-01-22",285,"452"
"178","2021-01-23",118,"452"
"179","2021-01-24",201,"452"
"180","2021-01-25",370,"452"
"181","2021-01-26",296,"452"
"182","2021-01-27",513,"452"
"183","2021-01-28",644,"452"
"184","2021-01-29",456,"452"
"185","2021-01-30",552,"452"
"186","2021-01-31",615,"452"
"187","2021-02",151,"452"
"188","2021-02-01",521,"452"
"189","2021-02-02",604,"452"
"190","2021-02-03",616,"452"
"191","2021-02-04",697,"452"
"192","2021-02-05",581,"452"
"193","2021-02-06",244,"452"
"194","2021-02-07",313,"452"
"195","2021-02-08",736,"452"
"196","2021-02-09",764,"452"
"197","2021-02-10",697,"452"
"198","2021-02-11",601,"452"
"199","2021-02-12",389,"452"
"200","2021-02-13",270,"452"
"201","2021-02-14",242,"452"
"202","2021-02-15",563,"452"
"203","2021-02-16",504,"452"
"204","2021-02-17",540,"452"
"205","2021-02-18",436,"452"
"206","2021-02-19",391,"452"
"207","2021-02-20",269,"452"
"208","2021-02-21",299,"452"
"209","2021-02-22",709,"452"
"210","2021-02-23",568,"452"
"211","2021-02-24",544,"452"
"212","2021-02-25",580,"452"
"213","2021-02-26",453,"452"
"214","2021-02-27",374,"452"
"215","2021-02-28",285,"452"
"216","2021-03",264,"452"
"217","2021-03-01",723,"452"
"218","2021-03-02",803,"452"
"219","2021-03-03",758,"452"
"220","2021-03-04",799,"452"
"221","2021-03-05",604,"452"
"222","2021-03-06",483,"452"
"223","2021-03-07",456,"452"
"224","2021-03-08",827,"452"
"225","2021-03-09",712,"452"
"226","2021-03-10",735,"452"
"227","2021-03-11",611,"452"
"228","2021-03-12",647,"452"
"229","2021-03-13",445,"452"
"230","2021-03-14",390,"452"
"231","2021-03-15",895,"452"
"232","2021-03-16",868,"452"
"233","2021-03-17",788,"452"
"234","2021-03-18",804,"452"
"235","2021-03-19",787,"452"
"236","2021-03-20",570,"452"
"237","2021-03-21",500,"452"
"238","2021-03-22",983,"452"
"239","2021-03-23",825,"452"
"240","2021-03-24",904,"452"
"241","2021-03-25",771,"452"
"242","2021-03-26",710,"452"
"243","2021-03-27",587,"452"
"244","2021-03-28",431,"452"
"245","2021-03-29",959,"452"
"246","2021-03-30",840,"452"
"247","2021-03-31",820,"452"
"248","2021-04",431,"452"
"249","2021-04-01",844,"452"
"250","2021-04-02",727,"452"
"251","2021-04-03",581,"452"
"252","2021-04-04",426,"452"
"253","2021-04-05",1031,"452"
"254","2021-04-06",938,"452"
"255","2021-04-07",872,"452"
"256","2021-04-08",790,"452"
"257","2021-04-09",747,"452"
"258","2021-04-10",652,"452"
"259","2021-04-11",435,"452"
"260","2021-04-12",877,"452"
"261","2021-04-13",772,"452"
"262","2021-04-14",841,"452"
"263","2021-04-15",706,"452"
"264","2021-04-16",674,"452"
"265","2021-04-17",535,"452"
"266","2021-04-18",466,"452"
"267","2021-04-19",928,"452"
"268","2021-04-20",716,"452"
"269","2021-04-21",717,"452"
"270","2021-04-22",697,"452"
"271","2021-04-23",680,"452"
"272","2021-04-24",471,"452"
"273","2021-04-25",423,"452"
"274","2021-04-26",849,"452"
"275","2021-04-27",690,"452"
"276","2021-04-28",720,"452"
"277","2021-04-29",701,"452"
"278","2021-04-30",603,"452"
"279","2021-05",283,"452"
"280","2021-05-01",506,"452"
"281","2021-05-02",462,"452"
"282","2021-05-03",850,"452"
"283","2021-05-04",757,"452"
"284","2021-05-05",953,"452"
"285","2021-05-06",796,"452"
"286","2021-05-07",724,"452"
"287","2021-05-08",537,"452"
"288","2021-05-09",509,"452"
"289","2021-05-10",1074,"452"
"290","2021-05-11",903,"452"
"291","2021-05-12",939,"452"
"292","2021-05-13",668,"452"
"293","2021-05-14",868,"452"
"294","2021-05-15",695,"452"
"295","2021-05-16",604,"452"
"296","2021-05-17",1273,"452"
"297","2021-05-18",1230,"452"
"298","2021-05-19",1276,"452"
"299","2021-05-20",1180,"452"
"300","2021-05-21",962,"452"
"301","2021-05-22",869,"452"
"302","2021-05-23",971,"452"
"303","2021-05-24",1667,"452"
"304","2021-05-25",1633,"452"
"305","2021-05-26",1631,"452"
"306","2021-05-27",1388,"452"
"307","2021-05-28",1584,"452"
"308","2021-05-29",1672,"452"
"309","2021-05-30",1511,"452"
"310","2021-05-31",1463,"452"
"311","2021-06-01",2286,"452"
"312","2021-06-02",2184,"452"
"313","2021-06-03",2188,"452"
"314","2021-06-04",1072,"452"
"315","2021-06-05",761,"452"
"316","2021-06-06",463,"452"
"317","2021-06-07",26,"452"
"318","2021-06-08",7,"452"
"319","2021-06-09",1,"452"
"320","2021-06-10",1,"452"
"321","2021-06-11",6,"452"
"322","1972-12-27",1,"614"
"323","1978-06-28",1,"614"
"324","1985-02-09",1,"614"
"325","1987-06-22",1,"614"
"326","1996-03-01",1,"614"
"327","1996-09-13",1,"614"
"328","2002-10-04",1,"614"
"329","2002-10-05",2,"614"
"330","2003-03-10",1,"614"
"331","2016-04-16",1,"614"
"332","2020",4307,"614"
"333","2020-01",18,"614"
"334","2020-01-01",19,"614"
"335","2020-01-10",1,"614"
"336","2020-01-24",2,"614"
"337","2020-01-25",1,"614"
"338","2020-01-28",4,"614"
"339","2020-01-29",4,"614"
"340","2020-01-30",2,"614"
"341","2020-01-31",1,"614"
"342","2020-02",18,"614"
"343","2020-02-01",3,"614"
"344","2020-02-02",1,"614"
"345","2020-02-03",6,"614"
"346","2020-02-04",3,"614"
"347","2020-02-05",2,"614"
"348","2020-02-06",2,"614"
"349","2020-02-07",3,"614"
"350","2020-02-08",3,"614"
"351","2020-02-09",2,"614"
"352","2020-02-10",3,"614"
"353","2020-02-11",2,"614"
"354","2020-02-12",1,"614"
"355","2020-02-13",3,"614"
"356","2020-02-14",2,"614"
"357","2020-02-15",5,"614"
"358","2020-02-16",3,"614"
"359","2020-02-17",2,"614"
"360","2020-02-18",3,"614"
"361","2020-02-19",1,"614"
"362","2020-02-20",4,"614"
"363","2020-02-21",5,"614"
"364","2020-02-22",11,"614"
"365","2020-02-23",10,"614"
"366","2020-02-24",26,"614"
"367","2020-02-25",18,"614"
"368","2020-02-26",32,"614"
"369","2020-02-27",41,"614"
"370","2020-02-28",68,"614"
"371","2020-02-29",64,"614"
"372","2020-03",1094,"614"
"373","2020-03-01",119,"614"
"374","2020-03-02",171,"614"
"375","2020-03-03",246,"614"
"376","2020-03-04",283,"614"
"377","2020-03-05",228,"614"
"378","2020-03-06",284,"614"
"379","2020-03-07",252,"614"
"380","2020-03-08",288,"614"
"381","2020-03-09",654,"614"
"382","2020-03-10",514,"614"
"383","2020-03-11",634,"614"
"384","2020-03-12",757,"614"
"385","2020-03-13",849,"614"
"386","2020-03-14",796,"614"
"387","2020-03-15",1093,"614"
"388","2020-03-16",1570,"614"
"389","2020-03-17",1495,"614"
"390","2020-03-18",1584,"614"
"391","2020-03-19",1482,"614"
"392","2020-03-20",1488,"614"
"393","2020-03-21",1253,"614"
"394","2020-03-22",1362,"614"
"395","2020-03-23",2032,"614"
"396","2020-03-24",2013,"614"
"397","2020-03-25",2028,"614"
"398","2020-03-26",2058,"614"
"399","2020-03-27",2172,"614"
"400","2020-03-28",1662,"614"
"401","2020-03-29",1479,"614"
"402","2020-03-30",2398,"614"
"403","2020-03-31",2198,"614"
"404","2020-04",1422,"614"
"405","2020-04-01",2226,"614"
"406","2020-04-02",1957,"614"
"407","2020-04-03",2041,"614"
"408","2020-04-04",1463,"614"
"409","2020-04-05",1210,"614"
"410","2020-04-06",2132,"614"
"411","2020-04-07",1863,"614"
"412","2020-04-08",1865,"614"
"413","2020-04-09",1551,"614"
"414","2020-04-10",1588,"614"
"415","2020-04-11",1349,"614"
"416","2020-04-12",999,"614"
"417","2020-04-13",1805,"614"
"418","2020-04-14",1669,"614"
"419","2020-04-15",1572,"614"
"420","2020-04-16",1498,"614"
"421","2020-04-17",1484,"614"
"422","2020-04-18",1079,"614"
"423","2020-04-19",780,"614"
"424","2020-04-20",1665,"614"
"425","2020-04-21",1390,"614"
"426","2020-04-22",1385,"614"
"427","2020-04-23",1282,"614"
"428","2020-04-24",1213,"614"
"429","2020-04-25",833,"614"
"430","2020-04-26",666,"614"
"431","2020-04-27",1359,"614"
"432","2020-04-28",1160,"614"
"433","2020-04-29",1301,"614"
"434","2020-04-30",1306,"614"
"435","2020-05",771,"614"
"436","2020-05-01",1172,"614"
"437","2020-05-02",795,"614"
"438","2020-05-03",654,"614"
"439","2020-05-04",1225,"614"
"440","2020-05-05",938,"614"
"441","2020-05-06",907,"614"
"442","2020-05-07",887,"614"
"443","2020-05-08",862,"614"
"444","2020-05-09",611,"614"
"445","2020-05-10",428,"614"
"446","2020-05-11",947,"614"
"447","2020-05-12",887,"614"
"448","2020-05-13",933,"614"
"449","2020-05-14",1056,"614"
"450","2020-05-15",975,"614"
"451","2020-05-16",524,"614"
"452","2020-05-17",466,"614"
"453","2020-05-18",1080,"614"
"454","2020-05-19",951,"614"
"455","2020-05-20",760,"614"
"456","2020-05-21",744,"614"
"457","2020-05-22",769,"614"
"458","2020-05-23",418,"614"
"459","2020-05-24",365,"614"
"460","2020-05-25",652,"614"
"461","2020-05-26",728,"614"
"462","2020-05-27",732,"614"
"463","2020-05-28",557,"614"
"464","2020-05-29",573,"614"
"465","2020-05-30",377,"614"
"466","2020-05-31",337,"614"
"467","2020-06",677,"614"
"468","2020-06-01",782,"614"
"469","2020-06-02",742,"614"
"470","2020-06-03",658,"614"
"471","2020-06-04",669,"614"
"472","2020-06-05",592,"614"
"473","2020-06-06",365,"614"
"474","2020-06-07",467,"614"
"475","2020-06-08",948,"614"
"476","2020-06-09",827,"614"
"477","2020-06-10",852,"614"
"478","2020-06-11",1064,"614"
"479","2020-06-12",994,"614"
"480","2020-06-13",805,"614"
"481","2020-06-14",683,"614"
"482","2020-06-15",1309,"614"
"483","2020-06-16",1250,"614"
"484","2020-06-17",1123,"614"
"485","2020-06-18",1152,"614"
"486","2020-06-19",1165,"614"
"487","2020-06-20",682,"614"
"488","2020-06-21",699,"614"
"489","2020-06-22",1065,"614"
"490","2020-06-23",1036,"614"
"491","2020-06-24",1245,"614"
"492","2020-06-25",1059,"614"
"493","2020-06-26",971,"614"
"494","2020-06-27",613,"614"
"495","2020-06-28",568,"614"
"496","2020-06-29",1265,"614"
"497","2020-06-30",1164,"614"
"498","2020-07",895,"614"
"499","2020-07-01",1144,"614"
"500","2020-07-02",1341,"614"
"501","2020-07-03",1046,"614"
"502","2020-07-04",721,"614"
"503","2020-07-05",526,"614"
"504","2020-07-06",1120,"614"
"505","2020-07-07",1071,"614"
"506","2020-07-08",1111,"614"
"507","2020-07-09",995,"614"
"508","2020-07-10",1155,"614"
"509","2020-07-11",683,"614"
"510","2020-07-12",425,"614"
"511","2020-07-13",1149,"614"
"512","2020-07-14",960,"614"
"513","2020-07-15",1066,"614"
"514","2020-07-16",959,"614"
"515","2020-07-17",962,"614"
"516","2020-07-18",857,"614"
"517","2020-07-19",652,"614"
"518","2020-07-20",1100,"614"
"519","2020-07-21",1472,"614"
"520","2020-07-22",1364,"614"
"521","2020-07-23",1003,"614"
"522","2020-07-24",966,"614"
"523","2020-07-25",749,"614"
"524","2020-07-26",488,"614"
"525","2020-07-27",1369,"614"
"526","2020-07-28",1049,"614"
"527","2020-07-29",1098,"614"
"528","2020-07-30",1053,"614"
"529","2020-07-31",1005,"614"
"530","2020-08",534,"614"
"531","2020-08-01",973,"614"
"532","2020-08-02",833,"614"
"533","2020-08-03",1470,"614"
"534","2020-08-04",1240,"614"
"535","2020-08-05",1268,"614"
"536","2020-08-06",1404,"614"
"537","2020-08-07",1161,"614"
"538","2020-08-08",726,"614"
"539","2020-08-09",761,"614"
"540","2020-08-10",1780,"614"
"541","2020-08-11",1386,"614"
"542","2020-08-12",1246,"614"
"543","2020-08-13",1271,"614"
"544","2020-08-14",1151,"614"
"545","2020-08-15",753,"614"
"546","2020-08-16",590,"614"
"547","2020-08-17",1735,"614"
"548","2020-08-18",1259,"614"
"549","2020-08-19",1161,"614"
"550","2020-08-20",1325,"614"
"551","2020-08-21",1142,"614"
"552","2020-08-22",572,"614"
"553","2020-08-23",512,"614"
"554","2020-08-24",1517,"614"
"555","2020-08-25",1109,"614"
"556","2020-08-26",1253,"614"
"557","2020-08-27",1193,"614"
"558","2020-08-28",1134,"614"
"559","2020-08-29",692,"614"
"560","2020-08-30",789,"614"
"561","2020-08-31",2027,"614"
"562","2020-09",532,"614"
"563","2020-09-01",1243,"614"
"564","2020-09-02",1061,"614"
"565","2020-09-03",1174,"614"
"566","2020-09-04",983,"614"
"567","2020-09-05",534,"614"
"568","2020-09-06",328,"614"
"569","2020-09-07",1293,"614"
"570","2020-09-08",934,"614"
"571","2020-09-09",1627,"614"
"572","2020-09-10",1959,"614"
"573","2020-09-11",1101,"614"
"574","2020-09-12",408,"614"
"575","2020-09-13",378,"614"
"576","2020-09-14",1865,"614"
"577","2020-09-15",1048,"614"
"578","2020-09-16",1994,"614"
"579","2020-09-17",1101,"614"
"580","2020-09-18",1273,"614"
"581","2020-09-19",770,"614"
"582","2020-09-20",790,"614"
"583","2020-09-21",2596,"614"
"584","2020-09-22",1139,"614"
"585","2020-09-23",1476,"614"
"586","2020-09-24",2546,"614"
"587","2020-09-25",1438,"614"
"588","2020-09-26",673,"614"
"589","2020-09-27",1101,"614"
"590","2020-09-28",1424,"614"
"591","2020-09-29",1347,"614"
"592","2020-09-30",1282,"614"
"593","2020-10",813,"614"
"594","2020-10-01",2195,"614"
"595","2020-10-02",1391,"614"
"596","2020-10-03",1162,"614"
"597","2020-10-04",739,"614"
"598","2020-10-05",2801,"614"
"599","2020-10-06",2295,"614"
"600","2020-10-07",2158,"614"
"601","2020-10-08",1741,"614"
"602","2020-10-09",1750,"614"
"603","2020-10-10",882,"614"
"604","2020-10-11",1111,"614"
"605","2020-10-12",3321,"614"
"606","2020-10-13",1588,"614"
"607","2020-10-14",1946,"614"
"608","2020-10-15",2738,"614"
"609","2020-10-16",1694,"614"
"610","2020-10-17",1265,"614"
"611","2020-10-18",918,"614"
"612","2020-10-19",2482,"614"
"613","2020-10-20",2401,"614"
"614","2020-10-21",3374,"614"
"615","2020-10-22",3142,"614"
"616","2020-10-23",1755,"614"
"617","2020-10-24",1607,"614"
"618","2020-10-25",816,"614"
"619","2020-10-26",4404,"614"
"620","2020-10-27",2045,"614"
"621","2020-10-28",1290,"614"
"622","2020-10-29",2215,"614"
"623","2020-10-30",2294,"614"
"624","2020-10-31",1135,"614"
"625","2020-11",1550,"614"
"626","2020-11-01",2396,"614"
"627","2020-11-02",5382,"614"
"628","2020-11-03",2554,"614"
"629","2020-11-04",3506,"614"
"630","2020-11-05",3356,"614"
"631","2020-11-06",2643,"614"
"632","2020-11-07",2019,"614"
"633","2020-11-08",2928,"614"
"634","2020-11-09",4630,"614"
"635","2020-11-10",2661,"614"
"636","2020-11-11",3073,"614"
"637","2020-11-12",3520,"614"
"638","2020-11-13",3385,"614"
"639","2020-11-14",3238,"614"
"640","2020-11-15",1937,"614"
"641","2020-11-16",4154,"614"
"642","2020-11-17",2728,"614"
"643","2020-11-18",3723,"614"
"644","2020-11-19",2083,"614"
"645","2020-11-20",2500,"614"
"646","2020-11-21",1691,"614"
"647","2020-11-22",2055,"614"
"648","2020-11-23",4882,"614"
"649","2020-11-24",3033,"614"
"650","2020-11-25",2136,"614"
"651","2020-11-26",1649,"614"
"652","2020-11-27",2039,"614"
"653","2020-11-28",1290,"614"
"654","2020-11-29",1253,"614"
"655","2020-11-30",5900,"614"
"656","2020-12",1308,"614"
"657","2020-12-01",2652,"614"
"658","2020-12-02",2667,"614"
"659","2020-12-03",2744,"614"
"660","2020-12-04",2401,"614"
"661","2020-12-05",1405,"614"
"662","2020-12-06",1548,"614"
"663","2020-12-07",7636,"614"
"664","2020-12-08",2703,"614"
"665","2020-12-09",2999,"614"
"666","2020-12-10",4259,"614"
"667","2020-12-11",3709,"614"
"668","2020-12-12",2289,"614"
"669","2020-12-13",2200,"614"
"670","2020-12-14",9676,"614"
"671","2020-12-15",4283,"614"
"672","2020-12-16",3985,"614"
"673","2020-12-17",4356,"614"
"674","2020-12-18",4324,"614"
"675","2020-12-19",2780,"614"
"676","2020-12-20",2660,"614"
"677","2020-12-21",8241,"614"
"678","2020-12-22",3680,"614"
"679","2020-12-23",3442,"614"
"680","2020-12-24",3202,"614"
"681","2020-12-25",1627,"614"
"682","2020-12-26",4168,"614"
"683","2020-12-27",3902,"614"
"684","2020-12-28",9372,"614"
"685","2020-12-29",5913,"614"
"686","2020-12-30",4503,"614"
"687","2020-12-31",3840,"614"
"688","2021",9508,"614"
"689","2021-01",3673,"614"
"690","2021-01-01",2462,"614"
"691","2021-01-02",4609,"614"
"692","2021-01-03",4183,"614"
"693","2021-01-04",11801,"614"
"694","2021-01-05",6613,"614"
"695","2021-01-06",5097,"614"
"696","2021-01-07",5312,"614"
"697","2021-01-08",5556,"614"
"698","2021-01-09",4748,"614"
"699","2021-01-10",3684,"614"
"700","2021-01-11",11629,"614"
"701","2021-01-12",7618,"614"
"702","2021-01-13",6091,"614"
"703","2021-01-14",6557,"614"
"704","2021-01-15",7243,"614"
"705","2021-01-16",5247,"614"
"706","2021-01-17",4438,"614"
"707","2021-01-18",11815,"614"
"708","2021-01-19",7950,"614"
"709","2021-01-20",7265,"614"
"710","2021-01-21",6626,"614"
"711","2021-01-22",6728,"614"
"712","2021-01-23",4102,"614"
"713","2021-01-24",3790,"614"
"714","2021-01-25",13059,"614"
"715","2021-01-26",8676,"614"
"716","2021-01-27",8981,"614"
"717","2021-01-28",8614,"614"
"718","2021-01-29",8619,"614"
"719","2021-01-30",5844,"614"
"720","2021-01-31",4576,"614"
"721","2021-02",10027,"614"
"722","2021-02-01",11530,"614"
"723","2021-02-02",8566,"614"
"724","2021-02-03",7762,"614"
"725","2021-02-04",7295,"614"
"726","2021-02-05",6562,"614"
"727","2021-02-06",4377,"614"
"728","2021-02-07",4286,"614"
"729","2021-02-08",12655,"614"
"730","2021-02-09",9673,"614"
"731","2021-02-10",9311,"614"
"732","2021-02-11",8430,"614"
"733","2021-02-12",8110,"614"
"734","2021-02-13",4921,"614"
"735","2021-02-14",4816,"614"
"736","2021-02-15",13608,"614"
"737","2021-02-16",10299,"614"
"738","2021-02-17",8728,"614"
"739","2021-02-18",8225,"614"
"740","2021-02-19",8304,"614"
"741","2021-02-20",5654,"614"
"742","2021-02-21",5467,"614"
"743","2021-02-22",14879,"614"
"744","2021-02-23",9731,"614"
"745","2021-02-24",10289,"614"
"746","2021-02-25",10555,"614"
"747","2021-02-26",8995,"614"
"748","2021-02-27",5693,"614"
"749","2021-02-28",5565,"614"
"750","2021-03",9026,"614"
"751","2021-03-01",14699,"614"
"752","2021-03-02",11852,"614"
"753","2021-03-03",11410,"614"
"754","2021-03-04",9690,"614"
"755","2021-03-05",9731,"614"
"756","2021-03-06",6180,"614"
"757","2021-03-07",5431,"614"
"758","2021-03-08",16881,"614"
"759","2021-03-09",12378,"614"
"760","2021-03-10",12845,"614"
"761","2021-03-11",11765,"614"
"762","2021-03-12",11568,"614"
"763","2021-03-13",7877,"614"
"764","2021-03-14",6903,"614"
"765","2021-03-15",18857,"614"
"766","2021-03-16",14819,"614"
"767","2021-03-17",11802,"614"
"768","2021-03-18",12470,"614"
"769","2021-03-19",10689,"614"
"770","2021-03-20",8104,"614"
"771","2021-03-21",8013,"614"
"772","2021-03-22",19850,"614"
"773","2021-03-23",13510,"614"
"774","2021-03-24",13217,"614"
"775","2021-03-25",13675,"614"
"776","2021-03-26",12212,"614"
"777","2021-03-27",8230,"614"
"778","2021-03-28",6791,"614"
"779","2021-03-29",19381,"614"
"780","2021-03-30",14662,"614"
"781","2021-03-31",12398,"614"
"782","2021-04",7337,"614"
"783","2021-04-01",12802,"614"
"784","2021-04-02",10166,"614"
"785","2021-04-03",7669,"614"
"786","2021-04-04",6807,"614"
"787","2021-04-05",15315,"614"
"788","2021-04-06",13251,"614"
"789","2021-04-07",12918,"614"
"790","2021-04-08",12438,"614"
"791","2021-04-09",12458,"614"
"792","2021-04-10",8890,"614"
"793","2021-04-11",6549,"614"
"794","2021-04-12",18569,"614"
"795","2021-04-13",14857,"614"
"796","2021-04-14",13029,"614"
"797","2021-04-15",11510,"614"
"798","2021-04-16",11159,"614"
"799","2021-04-17",7517,"614"
"800","2021-04-18",5498,"614"
"801","2021-04-19",16434,"614"
"802","2021-04-20",12394,"614"
"803","2021-04-21",11748,"614"
"804","2021-04-22",11100,"614"
"805","2021-04-23",10627,"614"
"806","2021-04-24",6599,"614"
"807","2021-04-25",5275,"614"
"808","2021-04-26",16566,"614"
"809","2021-04-27",12414,"614"
"810","2021-04-28",10202,"614"
"811","2021-04-29",10736,"614"
"812","2021-04-30",9774,"614"
"813","2021-05",3507,"614"
"814","2021-05-01",5844,"614"
"815","2021-05-02",4776,"614"
"816","2021-05-03",16495,"614"
"817","2021-05-04",10204,"614"
"818","2021-05-05",9829,"614"
"819","2021-05-06",8934,"614"
"820","2021-05-07",8308,"614"
"821","2021-05-08",5131,"614"
"822","2021-05-09",3873,"614"
"823","2021-05-10",14107,"614"
"824","2021-05-11",8419,"614"
"825","2021-05-12",7215,"614"
"826","2021-05-13",5507,"614"
"827","2021-05-14",5911,"614"
"828","2021-05-15",4286,"614"
"829","2021-05-16",3180,"614"
"830","2021-05-17",11478,"614"
"831","2021-05-18",6830,"614"
"832","2021-05-19",5663,"614"
"833","2021-05-20",5188,"614"
"834","2021-05-21",4282,"614"
"835","2021-05-22",2780,"614"
"836","2021-05-23",2232,"614"
"837","2021-05-24",5342,"614"
"838","2021-05-25",5204,"614"
"839","2021-05-26",4906,"614"
"840","2021-05-27",3607,"614"
"841","2021-05-28",3273,"614"
"842","2021-05-29",3000,"614"
"843","2021-05-30",2198,"614"
"844","2021-05-31",2250,"614"
"845","2021-06-01",3431,"614"
"846","2021-06-02",2888,"614"
"847","2021-06-03",2709,"614"
"848","2021-06-04",1365,"614"
"849","2021-06-05",939,"614"
"850","2021-06-06",564,"614"
"851","2021-06-07",134,"614"
"852","2021-06-08",63,"614"
"853","2021-06-09",8,"614"
