rep,trimmed
CY068273,"CY068273, KF765561"
CY067953,"CY067953, JN256689, CY115464, CY106576, KF014126, KF014197, CY100083, JX437828, KF014155, JX437829, KF014154, KF014153, KF014229, KF014156, KF014230, KF014158, KF014231, KF014232, KF014159, KM069479, KM069480, KM069482, KM069483, KM069484, KM069485, KM069486, GQ983548, GQ902817, CY074942"
CY067213,"CY067213, CY068009, CY068017"
CY068465,"CY068465, CY068545"
CY068033,"CY068033, CY068049, KM821352, KM821354"
CY068081,"CY068081, KC535345, CY113037"
CY081462,"CY081462, CY081470, CY081430, CY081558, CY081478, CY081438, CY081446, CY082976, CY081454"
CY062351,"CY062351, CY062352"
CY121752,"CY121752, CY121776"
CY121736,"CY121736, JN256727, CY106872, CY115744, JN256728, JN256729, CY106880, CY106888, CY115752, JN256739, CY115816, CY106968"
JN256690,"JN256690, CY106584, CY115472"
JN256693,"JN256693, CY115496, CY106608"
JN256710,"JN256710, CY115616, CY106736, JN256711, CY115624, CY106744"
JN256722,"JN256722, CY115704, CY106832, JN256723, JN256724, CY115712, CY106840, CY106848, CY115720, JN256725, CY115728, CY106856"
JN256726,"JN256726, CY115736, CY106864"
JN256731,"JN256731, CY106904"
GQ385858,"GQ385858, GQ385915"
HQ616670,"HQ616670, HQ616672"
KM061036,"KM061036, CY084334, KC535406"
KC535369,"KC535369, KC535381"
KM821346,"KM821346, KJ609206, GQ293081"
KF014198,"KF014198, JX437708, JX437830, KF014157"
KF014127,"KF014127, JX844665"
KF014128,"KF014128, KF014200, KM069487"
GQ895022,"GQ895022, CY093248"
CY121041,"CY121041, KC535328, KC535360"
KC882678,"KC882678, KC883252, KC882601, KC882570, KC535302, KC882692, KC882840, KC883317, KC882439, KC882506, CY092305, CY093471, CY093479, CY093503, CY093511, CY093519, CY093527, CY093535, CY093543, CY093551, KC883189, KC535447, MK729906, KC883249, JQ658903, JQ658908, JQ658911, JQ658915, JQ658893, JQ658894, KC882793, KC535484, CY160296, CY160360, CY160400, CY160560, CY160776, CY160792, CY160848, CY160880, CY160912, CY161080, CY161256, CY161288, CY161296, CY161344, CY161392, CY161424, CY161448, CY161544, CY161608, CY161616, CY161632, CY161728, CY161800, CY161848, CY161872, CY161896, CY161920, CY161928, CY162024, CY162096, CY162160, CY162264, CY162296, CY162416, CY162432, CY162472, CY162520, CY162528, CY162544, CY162584, CY162592, CY162624, CY162648, CY162672, CY162776, CY162856, CY162936, CY163008, CY163024, CY163072, CY163184, CY163216, CY163248, CY163288, CY163320, CY163336, CY163344, KC882716, CY167275, CY167282, KC882758, KC882734, KC882790"
KC882801,"KC882801, KC882465, CY084299, KT888618, KC883270, CY093383, JN872408, KC882657, KC882462, KC882671, CY091837, CY091845, KC882467, KC882769, KC882804, KC882669, KC882707, KC882719, CY114501, MK729850, MK729898, KC882491, CY111004, CY111005, CY111008, CY111010, CY111013, JQ658890, JQ658889, JQ658892, JQ658895, JQ658898, JQ658899, JQ658900, JQ658902, JQ658907, JQ658913, JQ658914, JQ658909, JQ658910, JQ658912, JQ658920, JQ658917, KC535475, CY160352, CY160368, CY160536, CY160584, CY161024, CY161096, CY161144, CY161152, CY161184, CY161224, CY161272, CY161280, CY161312, CY161368, CY161376, CY161384, CY161408, CY161464, CY161576, CY161624, CY161704, CY161880, CY161960, CY161976, CY162064, CY162104, CY162184, CY162248, CY160281, CY162464, CY162880, CY162944, CY163096, CY163144, CY163256, CY163296, CY163384, KR611840, KM069499, KM069502, KM069513, KM069527, KM069531, KM069533, KM069534, KM069535, KM069536, JX437717, KM069538, JX437718, KF014203, CY100095, CY100097, CY100101, CY100103, CY100105, CY100109, CY100111, CY100115, CY100119, KF014236, KF014165, KF014168, JX437835, KF014169, KM069521, KM069523, KF014170, KF014238, KF014239, KF014172, KM069506, KM069510, KM069515, KM069519, KM069524, KM069526, KM069528, KM069529, KM069530, KM069537, CY100127, KC883273, KC882479, KP637982, KP638070, KP638110, KC882674, KC882685, KC882682, KC883281, KC883327, KC883288, KC882729, KC535299, KC882604, KC882509"
KC535486,"KC535486, KC535444, KM061026, KC882652, KC535471"
KC882787,"KC882787, CY162576"
KC882759,"KC882759, KC535295, KC535491, KC882862, KC882896, KC883207, KC882739, KC882497, KC882764, KC882553, MK729834, MK729842, MK729858, MK729882, MK729890, KC882512, KC709818, CY100107, KF014171, JX437836, KC883306, KC882849"
KC882781,"KC882781, KC883253, KC882709, KC882834, MK729866, KC882577, KC535411, KC883278"
KC882493,"KC882493, KC882482, KC883234"
CY093391,"CY093391, CY093399"
CY093407,"CY093407, CY093415"
KC535428,"KC535428, CY072214, KM069511, JX437715, KM069518, CY100093, KF014235, KF014162, KF014163, JX437831, KM069504, KM069512, KM069500, KM069505, KM069508, CY100125"
KC882784,"KC882784, KC535470, HQ703350, HQ703352, KY049988"
KC535413,"KC535413, JN872405, JN872406, JN872407, KC535366, KC535427, CY074843, CY074747, CY070951, CY088891, CY073869, CY074779, CY098081, CY088995, CY074795, CY070943, CY074763, CY074731, CY088915, CY074915, CY088851, CY074739, CY088907, CY074931, CY074699, CY074771, CY088843, CY088979, CY074827, CY074875, CY074891, CY098073, CY088955, CY088987, CY074803, CY088939, CY074675, CY074707, CY089003, CY074835, CY070935, CY074867, CY074899, CY074819, CY088883, CY074923, CY089011, CY088931, CY089027, CY074859, CY088875, CY088774, CY074907, CY088859, CY088790, CY088947, CY074851, CY088782, CY074811, CY093117, CY088923, CY070927, CY098065, CY074883, CY089019, CY074715, CY088963, CY074683, CY074787, CY074723, MK729826, CY188609, CY240507, CY240411, CY240499, CY240467, CY240451, CY240435, CY240459, CY240443, CY240491, CY240403, CY240427, CY240419, CY093447"
KC882867,"KC882867, CY093224, KC882883"
JN872412,"JN872412, JQ396183, JQ396185, KX431188, JQ396182, CY111009, KC535467, CY160304, CY160312, CY160320, CY160344, CY160384, CY160432, CY160448, CY160456, CY160464, CY160472, CY160488, CY160520, CY160544, CY160600, CY160680, CY160704, CY160712, CY160736, CY160744, CY160760, CY160824, CY160840, CY160888, CY160920, CY160936, CY160944, CY160952, CY160992, CY161000, CY161016, CY161032, CY161104, CY161128, CY161232, CY161328, CY161440, CY161520, CY161640, CY161648, CY161680, CY161736, CY161784, CY161792, CY161824, CY161832, CY161944, CY161968, CY161984, CY162008, CY162048, CY162128, CY162176, CY162216, CY162224, CY162240, CY162256, CY162272, CY162312, CY162368, CY162400, CY162448, CY162456, CY162600, CY162616, CY162688, CY162768, CY162784, CY162808, CY162824, CY162840, CY162864, CY162912, CY162928, CY162960, CY163016, CY163160, CY163176, CY163200, CY163264, CY163328, CY090877"
KJ955517,"KJ955517, KJ955520"
KJ955519,"KJ955519, KJ955521"
KX431187,"KX431187, KX431191"
KC882541,"KC882541, KC882843, KC882845, KC882851, KC882873, KC882455"
KC882545,"KC882545, KC882471"
CY093559,"CY093559, CY162304"
KC535493,"KC535493, KC882855, KC535433"
KM061028,"KM061028, KM061027"
KC535393,"KC535393, JX437712, CY100091, KF014234, KF014161, KF014166, KF014237, KM069507, KM069509"
CY070967,"CY070967, KC535434"
JQ658905,"JQ658905, JQ658906"
CY160288,"CY160288, CY160872, CY161712"
CY160336,"CY160336, CY160480, CY160648, CY161688, CY161808"
CY160664,"CY160664, CY161560, CY161720, CY163232"
CY160696,"CY160696, CY160864"
CY160752,"CY160752, CY162088"
CY160800,"CY160800, CY162744"
CY160896,"CY160896, CY162760"
CY160984,"CY160984, CY163240"
CY161432,"CY161432, CY162712"
CY161584,"CY161584, CY162056, CY163136, CY163208"
CY161768,"CY161768, CY162568"
CY162280,"CY162280, CY162376"
CY162344,"CY162344, CY162792"
CY163104,"CY163104, CY163152"
CY121800,"CY121800, KC535478"
CY093423,"CY093423, CY093431, CY093439"
KM069498,"KM069498, JX437713"
KM069501,"KM069501, KM069503, JX437832, KF014164, KF014167, JX437833"
KM069525,"KM069525, CY100099"
CY090869,"CY090869, KM821345"
CY074950,"CY074950, CY074966"
KC882982,"KC882982, KC883393, KC883402, KC883413, KC892263, KC892423, KY925459, CY111126, CY111158, CY111222, CY111198, CY111546, CY111334, CY116715, CY111478, CY111414, CY111430, CY117597, CY111462, KC882483, KC883183, KC882902, KC883093, CY091581, CY092281, CY092265, CY092273, KC883212, KC892190, KC892250, KC892410, KC892769, KC882958, JF327387, KC882977, JX518887, KC883367, KC883054, KC892899, KC883449, KC892953, KC883024, JN872414, KC882584, CY091573, KC883022, KC892766, KC883131, KC882930, KC892269, KC883333, KC883077, KC883080, KC882526, KT888792, KT888791, KC892405, JN872420, MG856289, KJ855331, KC883433, KC883216, KC882598, KC893178, KC883451, KC893175, KC883010, KC883374, CY093567, CY093575, KC883201, KC882533, KC883139, KC883336, KC882914, KC883415, KC892751, KC892978, KC892758, MK729818, MK729946, MK730026, MK730034, CY181905, CY181913, CY181985, CY182025, CY182041, KC883240, KC882817, CY110990, CY110992, CY111003, KF551067, KC882450, CY160328, CY160552, CY160624, CY160672, CY160720, CY160728, CY160768, CY160976, CY161048, CY161336, CY161360, CY161400, CY161456, CY161480, CY161528, CY161536, CY161696, CY161856, CY161904, CY162072, CY162144, CY162200, CY162208, CY162288, CY162352, CY162360, CY162384, CY162408, CY162440, CY162496, CY162536, CY162560, CY162608, CY162800, CY162848, CY162888, CY163056, CY163128, CY163352, CY163376, KY926256, KR611842, KR611852, JN872415, JN872424, JX437719, KF014204, CY124165, CY124285, CY124303, KM069539, KC883311, KC893019, KC893051, KC883371, CY167484, CY167500, CY167508, CY167516, CY167524, CY167532, CY167540, CY167572, CY167596, CY167604, CY167612, CY167636, CY167644, CY167652, CY167668, CY167676, CY167684, CY167692, CY167700, CY167708, CY167740, CY167764, CY167317, KC882639, KC893002, KC882744, KC882984, KC882918, KC882994, KC883062, KC883377, KC892489, KC883219, KC882633, KJ567654"
KC883039,"KC883039, KC882589, KC883264, KC883320, KC883362, KC883147, CY167732, KC882548, KC882551"
KC892531,"KC892531, CY161472, CY161776, CY163192, JN872423, JN872418"
KC882748,"KC882748, CY111134, CY111142, CY111174, CY111182, CY111238, CY111214, CY139586, CY116707, CY134505, CY134529, CY117581, CY134545, CY111302, CY111310, CY134593, CY111326, CY134609, CY111350, CY111358, CY111422, CY111454, KC883104, KC883142, KU933857, KU933855, KC882523, KC883427, KC882621, KC882563, KC882557, KC883129, KC883156, MK729914, MK729922, MK729930, MK729962, MK730002, MK730018, KC882591, CY124193, KC883356, CY091565, KC882822, CY167620, CY167628, KC882893, KC882879, KC882882, KC882944, KC882917"
KC883090,"KC883090, KC883438"
KC892914,"KC892914, KC892420, KC893099, KT888604, KT888606, KF598702, KF598703, KF598704, KF598705, KF598706, KF598707, KF598708, KF598709, KF598710, KF598711, KF598713, KF598714, KT889257, KT888611, KT888613, KC892253, KC892655, KC883173, KC892764, KC892459, KT888633, KC892429, KC883446, KC892257, KU933861, KU933864, KU933870, KU933862, KU933863, KU933867, MF441071, MF441079, KC883170, KC892416, KC892521, KC892432, KC892699, KC892399, KC892198, KC892982, CY160392, CY160416, CY160504, CY160608, CY160808, CY161008, CY161240, CY161352, CY161592, CY161760, CY161840, CY162680, CY162920, CY162968, CY162992, KT888602, KT888607, KT888608, KT888612, KT888615, KT888787, KF014137, KF014212, KF014142, KF014217, KF014144, KF014220, KF014146, KF014148, KF014150, KF014226, KM069551, KM069556, CY124155, CY124157, CY124159, CY124161, CY124163, CY124175, CY124179, CY124189, CY124191, CY124199, CY124203, CY124209, CY124213, CY124215, CY124217, CY124257, CY124259, CY124263, CY124271, CY124273, CY124277, CY124287, CY124291, JX437839, KF014187, KF014254, KF014190, KM069540, KF014191, KF014255, KM069543, KM069553, KM069554, KM069555, CY124321, CY124325, CY124331, CY124335, CY124337, CY124339, CY124343, CY124347, CY124357, CY124369, KM069541, CY124407, CY124433, CY124439, CY124445, CY124473, CY124475, CY124487, KC892256, KP335865, KP335872, KP335866, KP335873, KC892266, KC892413, KC892702, KC892802, KC892618, KC892694"
KT888620,"KT888620, KT888623, KT888624, KT888626, KT888627, KT888644, KC020359, KU933869, MF441072, MF441090, MF441098, MF441073, MF441103, KF014151, KF014227, CY124221, CY124223, CY124247, CY124255, CY124267, CY124275, CY124283, KF014195, KF014258, KM069552, CY124353, CY124355, CY124359, CY124413, CY124463, KP335867, KP335870, KP335878, KP335877, KP335882, KP335885, KP335886, KP335868, KP637998, KP638118, KP638214, KT888643"
KR137646,"KR137646, KC892673, CY124491"
CY111166,"CY111166, CY111190, CY134481, KC882752"
CY111230,"CY111230, CY117589, KC883350, KC883102, KC883012, CY167564, KC882876, KC883106, KC883407"
CY116699,"CY116699, CY092289, CY092297, KC883198"
CY111270,"CY111270, CY111000, CY161912, CY162080, KR611836, KR611833"
CY134513,"CY134513, KC893047"
CY134561,"CY134561, KC882530, JN872427, KJ855347, KY925015, KY925024, JN872428, KY925943, KC883135"
CY134577,"CY134577, CY111366, CY111438, CY111470, KC883338, KC883121, KC883044, KC883034, KC883158, MK729954, MK729970, MK729978, MK729986, MK729994, CY110991, CY110993, CY110995, CY110998, CY110999, JQ658921, JQ658923, JQ658926, JQ658924, KC882538, KR611825, KR611832, KR611846, KR869979, KC883420, KC883003, KC883018, KC883387"
CY134601,"CY134601, CY111446, KC882813"
CY111382,"CY111382, KC882820"
KC892985,"KC892985, KC892193, KT888609, KF014132, KF014206, KF014135, KF014210, KF014143, KF014219, KF014149, KF014225, KM069550, CY124171, CY124173, CY124181, CY124229, CY124243, CY124261, CY124299, KF014241, KF014175, KF014188, KF014252, KF014194, CY124307, CY124313, CY124317, CY124319, CY124329, CY124333, CY124365, KM069542, CY124395, CY124399, CY124401, CY124411, CY124417, CY124423, CY124441, KM821347"
KC892641,"KC892641, KC892685"
KC020358,"KC020358, MF441097"
KU299793,"KU299793, KU299801, KU299809"
KC020360,"KC020360, KU299817, KC892960, CY124207, CY124281, CY124391, CY124467, KP335871, KP335880, KP335888, KP638006, KP638078"
KC882924,"KC882924, KC883348"
KF952357,"KF952357, KF952358, KF952356"
KC892260,"KC892260, CY160568, CY160592, CY160632, CY160656, CY160816, CY160832, CY160968, CY161120, CY161192, CY161320, CY161504, CY161672, CY161816, CY162232, CY162424, CY162504, CY162816, CY163368, KT888793"
CY099953,"CY099953, KC882935, KF014131, KF014205, CY124297, KF014174, JX437837"
KC883166,"KC883166, CY124483, CY124485"
KT889249,"KT889249, CY124367"
KC883070,"KC883070, KC882992, KC882974"
KC892955,"KC892955, KC892428"
KU933859,"KU933859, KU933868, KU933860"
KU933856,"KU933856, CY161056, CY162392"
MF441085,"MF441085, MF441075, MF441078, CY124373"
MF441088,"MF441088, MF441089, MF441091, MF441101, MF441077"
MF441095,"MF441095, MF441076"
MF441096,"MF441096, MF441080"
KF000055,"KF000055, KF000057"
KT888790,"KT888790, CY181729, CY181745, CY181785, CY181793, CY181841, CY182017"
KC883435,"KC883435, KC882624"
KC883353,"KC883353, KC883038"
KC882999,"KC882999, CY160440, CY162512"
CY114421,"CY114421, JN940429"
MK729938,"MK729938, MK730010"
CY110994,"CY110994, CY161552, KT888786, KT888788, KT888789"
KU322309,"KU322309, KU322310"
CY160496,"CY160496, CY161248, CY162488"
CY161216,"CY161216, CY161304, CY161744, CY161888, CY162112, CY162952"
CY161568,"CY161568, CY162552"
CY162896,"CY162896, CY163360"
CY163280,"CY163280, CY163304"
KT888794,"KT888794, CY124293"
KR611843,"KR611843, KR611830"
KR611828,"KR611828, KR611848, KR611822, KR611821"
KY925679,"KY925679, KY925827, JN872413"
KF014133,"KF014133, JX437720, KF014208, KF014134, KF014209, KF014136, KF014211, KF014138, KF014213, KF014139, KF014214, KF014140, KF014215, KF014141, KF014216, JX437721, KF014218, JX437842, KF014145, CY124153, CY124167, CY124169, CY124177, CY124183, CY124187, CY124197, CY124201, CY124205, CY124211, CY124225, CY124301, KF014176, KF014242, JX437838, KF014177, KF014178, KF014243, KF014179, KF014244, KF014245, KF014180, KF014181, KF014246, KF014183, KF014248, KF014184, KF014249, KF014185, KF014250, KF014251, KF014186, KF014253, KF014189, JX437840, KF014192, KM069548, CY124309, CY124315, CY124323, CY124377, CY124379, CY124381, CY124383, CY124387, CY124389, CY124393, CY124403, CY124409, CY124429"
JX437722,"JX437722, KF014223"
KF014152,"KF014152, KF014228, KF014256, KF014193, CY124349"
CY124185,"CY124185, KF014247, KF014182"
CY124233,"CY124233, CY124237, KM069547"
CY124239,"CY124239, CY124241, CY124435, CY124437, CY124443, CY124453"
CY124249,"CY124249, CY124253, CY124269, CY124361, CY124465, CY124477"
JX437841,"JX437841, KF014196, KM069549, CY124493"
KC893090,"KC893090, KC892474, KY801318, KY801320, KF598716, KF598717, KF598720, KF598721, KF598725, KF598728, KC892367, KT889209, CY120890, KC892732, JX913019, JX913027, KC892303, KC892616, KC892230, CY141186, LC091030, KC893006, KC892959, KC892376, KC892172, KC892373, KT889129, KT889152, KC892334, KC892926, KT889132, KC892361, KC892635, KC892879, KF790394, MK730146, MK730218, KC135496, KC893153, KF551068, KF551074, KU322316, KU322312, CY160616, CY160784, CY161176, CY161488, CY161664, CY161992, CY162000, CY162016, CY162040, CY162336, CY162480, CY162632, CY162664, CY162696, CY163080, KT888603, KC892323, JX978764, MN396702, CY251065, KC893081, CY250913, CY251255, CY116636, KC865645, KP335894, KC892995, KC892809, KC892288, KC892379, KC892444, KC892504, KC892882, KC892675, CY120883, KT889148, KC893123, KC892519"
KC892558,"KC892558, KC892597, KC892723, KC893104"
KC893059,"KC893059, KC893116, KC892306, KC892278, KC893126, KC893093"
KF790114,"KF790114, KF789662, KF790257, KF789597, CY148324, CY148340, CY148372, CY148380, CY148388, CY148412, CY148444, CY148468, CY148484, CY148492, CY148500, CY148508, CY148516, CY148524, CY148532, CY148548, CY148556, CY148564, CY148572, CY148580, CY148588, CY148612, CY148644, CY148788, CY148844, CY149052, CY149076, CY149156, CY167911, CY167919, CY167927, CY167943, CY167959, CY167999, CY168015, CY168439, CY168447, CY168527, CY168543, CY168559, CY168567, CY168607, CY168615, CY168623, CY168631, CY168639, CY168679, CY168695, CY168711, CY168719, CY168727, CY168735, CY168743, CY168767, CY168775, CY168791, CY168799, CY168823, CY168831, CY168847, CY168895, CY168903, CY168927, CY168951, CY168959, CY168967, CY168975, CY168999, CY169015, CY169047, CY169055, CY169063, CY169087, CY169127, CY169135, CY169159, CY169167, CY169207, CY169215, CY169231, CY169255, CY169263, CY169271, CY169279, CY169287, CY169295, CY169303, CY169319, CY170103, CY170119, CY170127, CY170143, CY170151, CY170159, CY170167, CY170175, CY171111, CY171527, MH393234, MH393235, MK641735, KF790127, CY141181, KF789829, KJ741952, KJ741953, KJ741958, KJ741960, KJ741961, KJ741962, KJ741964, KJ741966, KJ741968, KJ741969, KJ741970, KM654810, KM654789, KM654812, KM654790, KM654791, KF789915, CY141199, KF789585, CY182697, CY182668, CY182961, KF790214, KF789637, KF790248, KF789810, KF789891, MK970000, MK817990, MK970008, MK970072, MK970080, MK970088, MK969722, MK817720, MK970096, MK817792, MK970104, MK969744, KF790527, KF789600, MN250934, KF790311, CY141212, KF789590, KF790329, KF789895, KF789591, KF790384, CY134640, CY134641, CY134650, CY134653, CY134661, CY141220, CY141224, CY141239, CY141241, CY141242, CY141243, CY141244, CY141245, CY141246, CY141248, KF790180, KF790258, KF789822, KF790419, MK730234, MK729802, MK730258, MK730266, MK730274, MK730338, MK730346, MK730370, MK730386, MK730402, MK730410, MK730434, MK730442, MK730450, MK729810, MK730466, MK730474, MK730506, CY141249, CY130197, KF928622, KF199856, KJ734739, KF790077, KF790256, KF790224, CY170951, KM069571, MN400669, KM069580, CY141254, CY141256, KT844417, KF790225, CY134876, CY134900, KJ577189, KF790438, CY251351, CY141268, CY141276, KF790001, KF789753, KF789818, KF789889, KT734905, KT734912, KR611282, KR611284, KR611289"
CY134657,"CY134657, CY141179, CY169023, KP335896, KP335899"
CY134658,"CY134658, KF789912, CY148620, CY148636, CY167903, CY167983, CY168007, CY168703, CY168783, CY168839, CY169223, CY170111, CY170135, CY170191, CY170199, KF789534, CY171183, CY171223, CY171279, CY171311, CY171319, CY167884, CY171447, CY171519, CY171551, KF789596, KJ741955, KM654787, KF790081, KC893147, CY134638, CY141185, CY141200, KY926340, CY130194, CY182969, KC892682, KC892664, KC893152, CY141209, KF789674, KT734941, KT734897, KC892706, KF790209, KF790265, KM244545, KM244532, KM244548, KM244549, KM244533, KM244534, KM244550, KC892370, KF790278, KT889136, CY134660, CY134662, CY167852, KC291191, CY251057, KF790287, KF199859, KC865639, CY135012, CY135036, CY135156, KF790178, KF789680, KC892525, KR611287"
CY141176,"CY141176, KC892601, KC892668, KF790270, CY148596, CY149132, CY169191, CY169199, CY250833, CY171047, CY171071, CY171079, CY171087, CY171119, CY171135, CY171167, CY171175, CY171199, CY171231, CY171239, CY171303, CY171327, CY171343, CY171351, CY171391, CY171399, CY171407, CY171415, CY171479, CY171535, CY251111, KF790109, KF790429, KF790440, KF952362, CY141183, KF952361, KC892204, KC892786, CY182689, CY182721, CY182737, CY182785, CY182793, CY182801, CY182809, CY182825, CY182841, CY182857, CY182865, CY182873, CY182881, CY182889, CY182937, CY182945, CY182953, KC893064, KF199858, KF789780, KC892532, KF790106, KF789664, KC893133, KM244551, KF789998, MN250920, CY141218, MK730378, KM069574, KM069565, KM069570, KM069575, KM069577, KM069576, KF790059, KT844422, CY134788, CY134812, CY134828, CY134844, CY134852, CY134884, CY134916, CY134932, CY134956, CY134964, CY134972, CY134756, CY135044, CY135060, CY135068, CY135092, CY135124, CY135132, CY135140, CY135148, CY134780, CY251375, CY141279, KC892238, KR611247, KR611286, KF790100"
KC892853,"KC892853, KT889133, KC892863, KC892818, KC892437, KC892850, CY120885, KC892677, KT889203, KT889204, KT889206, KT889212, KC892393, KT889147, KT889153, JX913003, KC892856, KC892724, KT889142, KC892300, KJ855355, KU322011, KC893084, KC892453, KC892644, KC893009, KC892876, KT889137, KC893122, KC892822, MK730066, MK730114, MK730138, MK730154, MK730202, KC892177, CY120872, KT889143, KC892358, KU322314, KU322315, KU322318, KU322313, CY162752, CY163040, KC892793, KC892632, KC892716, CY250929, KC892488, KC892761, KC892394, KC892162"
KC892536,"KC892536, KU299827, KU299842, CY163048, KM069569, KP335893, KJ577157"
KF790216,"KF790216, KF790195, KF790238, KF790255, KF789796, CY134659"
KT889139,"KT889139, KT889210"
KC865653,"KC865653, KC865629"
KC865637,"KC865637, CY161072"
KC513483,"KC513483, KC513482, KC892691, LC091006, KC892600, KC892954, KC892727"
KC513479,"KC513479, KT889205, KC893060, KC892485"
KY801319,"KY801319, KF598718, KF598730, JX978776"
CY148292,"CY148292, CY148300, CY148308, CY148396, CY148420, CY148452, CY148628, CY167887, CY167895, CY168655, CY168935, KF789927, KM654793, KC893145, KF789989, KF790171, KF789941, KF789668, KF790262, KF790282, MK730298, MK730314, KF790502, KR611838, KR611824, KR611853"
CY148332,"CY148332, CY169311"
